Species,Lucerne,Lucerne,Lucerne,Lucerne,Ryegrass,Ryegrass,Ryegrass,Ryegrass
2012-04-08,0.9258140799212571,0.9872960269685147,0.9895054135826861,0.9867436803149718,0.6653319537100044,0.7131834989788943,0.7257760108917599,0.7094057454050346
2012-04-09,0.9250900465718421,0.9900714881412718,0.9917981858558331,0.9896398137126314,0.7116847106875394,0.7698368686181036,0.7851400680735154,0.7652459087814802
2012-04-10,0.9242265886186273,0.993381410295262,0.9945324693743468,0.9930936455254906,0.7669634581347828,0.8373997821647347,0.8559356569094587,0.8318390197413175
2012-04-11,0.9236996188915368,0.9954014609157754,0.9962012068434667,0.9952015244338527,0.8007001633764452,0.8786335330156553,0.899142314499658,0.8724808985704545
2012-04-12,0.9231891953811207,0.997358084372371,0.9978175479597848,0.9972432184755177,0.8333775765827081,0.9185725936010876,0.9409923349217137,0.9118466712048999
2012-04-13,0.9225,1.0,1.0,1.0,0.8775000000000001,0.9725,0.9975,0.9649999999999999
2012-04-14,0.9227562804409126,1.0,1.0,1.0,0.890057741604717,0.9753190848500385,0.9977562804409126,0.9685879261727762
2012-04-15,0.9230489618046654,1.0,1.0,1.0,0.9043991284286081,0.9785385798513202,0.9980489618046655,0.9726854652653166
2012-04-16,0.9233329915406306,1.0,1.0,1.0,0.9183165854908997,0.9816629069469367,0.9983329915406306,0.9766618815688285
2012-04-17,0.9235911144578314,1.0,1.0,1.0,0.9309646084337352,0.9845022590361446,0.9985911144578313,0.9802756024096386
2012-04-18,0.9238082542937709,1.0,1.0,1.0,0.9416044603947706,0.9868907972314791,0.9988082542937708,0.9833155601127916
2012-04-19,0.9240100935657524,1.0,1.0,1.0,0.9514945847218662,0.9891110292232761,0.9990100935657524,0.9861413099205332
2012-04-20,0.9242696744424507,1.0,1.0,1.0,0.9642140476800819,0.9919664188669572,0.9992696744424506,0.989775442194309
2012-04-21,0.9244860132017432,1.0,1.0,1.0,0.9748146468854142,0.9943461452191746,0.9994860132017431,0.992804184824404
2012-04-22,0.9247413483722122,1.0,1.0,1.0,0.9873260702384009,0.9971548320943349,0.9997413483722123,0.9963788772109716
2012-04-23,0.925,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-04-24,0.9126675005819641,0.99815588793749,0.9983864019453037,0.9982711449413968,1.0,1.0,1.0,1.0
2012-04-25,0.9013103174580915,0.9964576175638267,0.9969004153683484,0.9966790164660876,1.0,1.0,1.0,1.0
2012-04-26,0.8884091336162289,0.9945284685781276,0.9952124100058618,0.9948704392919948,1.0,1.0,1.0,1.0
2012-04-27,0.871689961604371,0.9920284054735509,0.993024854789357,0.9925266301314539,1.0,1.0,1.0,1.0
2012-04-28,0.8579747637785338,0.9899775347706219,0.9912303429242942,0.990603938847458,1.0,1.0,1.0,1.0
2012-04-29,0.8426067799557422,0.9876795184980549,0.989219578685798,0.9884495485919265,1.0,1.0,1.0,1.0
2012-04-30,0.8312653519412371,0.9859836040285962,0.9877356535250217,0.986859628776809,1.0,1.0,1.0,1.0
2012-05-01,0.8227695967757767,0.9847132107328265,0.9866240593912231,0.9856686350620247,1.0,1.0,1.0,1.0
